src_idx,src_ref,dst_idx,dst_ref,river_dist_km,area_ratio,elev_drop_m,same_tributary
9,19054,11,19055,2.9460999965667725,1.0503000020980835,4.885000228881836,1.0
11,19055,18,19101,41.56919860839844,2.7808001041412354,47.27000045776367,1.0
10,19111,18,19101,4.206600189208984,2.7959001064300537,12.513999938964844,0.5
18,19101,19,19095,6.8196001052856445,2.9156999588012695,64.66799926757812,0.5
5,19110,19,19095,14.696499824523926,19.9596004486084,67.78399658203125,0.5
12,19104,19,19095,6.106500148773193,7.437699794769287,100.5469970703125,0.5
16,19106,19,19095,67.0447998046875,3.5826001167297363,66.25700378417969,1.0
19,19095,20,19094,54.40639877319336,1.2740000486373901,0.0,1.0
13,19107,20,19094,6.036399841308594,9.468799591064453,46.4010009765625,0.5
20,19094,21,19109,6.861000061035156,1.0059000253677368,-11.343000411987305,1.0
21,19109,22,19102,14.484100341796875,1.4972000122070312,9.343000411987305,1.0
8,19112,15,19103,32.29710006713867,1.6685999631881714,21.874000549316406,1.0
15,19103,22,19102,10.05519962310791,9.981499671936035,18.972999572753906,0.5
4,19045,14,19108,3.3406999111175537,3.8248000144958496,3.627000093460083,1.0
14,19108,17,19105,2.045099973678589,2.3478000164031982,8.065999984741211,0.5
17,19105,22,19102,6.706900119781494,5.644100189208984,14.168000221252441,0.5
22,19102,23,19162,0.8539000153541565,1.0,1.8489999771118164,1.0
23,19162,24,19163,1.0681999921798706,1.0,3.1050000190734863,1.0
24,19163,25,19161,0.6639000177383423,1.0,1.8609999418258667,1.0
3,19059,2,19058,1.4301999807357788,0.6388000249862671,30.142000198364258,0.5
2,19058,25,19161,1.9371999502182007,100.85030364990234,15.312000274658203,0.5
0,19056,1,19057,1.1354000568389893,1.9032000303268433,19.76300048828125,0.5
1,19057,25,19161,1.6344000101089478,134.0113067626953,40.64400100708008,0.5
25,19161,26,19160,1.3827999830245972,1.0,-2.6050000190734863,1.0
6,19114,7,19113,2.174799919128418,1.0256999731063843,2.811000108718872,1.0
7,19113,26,19160,4.618800163269043,24.393299102783203,3.0850000381469727,0.5
