WKT,#Status,Station No.,Station,Water Body,Catchment,River Basin District,Catchment Area,Latitude,Longitude
"POINT (-8.45611 51.92285)",Level & Flow,19056,Ballincolly,Glen Tributary,LEE,SOUTH WESTERN RBD,3.65 km²,51.92285,-8.45611
"POINT (-9.146258 51.934472)",Level & Flow,19055,Ballymakera,Sullane,LEE,SOUTH WESTERN RBD,75.24 km²,51.934472,-9.146258
"POINT (-9.16104 51.93931)",Level & Historic Flow,19054,Ballyvourney,Sullane,LEE,SOUTH WESTERN RBD,71.59 km²,51.93931,-9.16104
"POINT (-8.58539 51.93005)",Level & Flow,19108,Bawnafinny Bridge,BLARNEY,LEE,SOUTH WESTERN RBD,88.50 km²,51.93005,-8.58539
"POINT (-8.47343 51.91658)",Level & Flow,19058,Blackpool Retail Park,Bride (Cork),LEE,SOUTH WESTERN RBD,10.76 km²,51.91658,-8.47343
"POINT (-8.86418388 51.89700912)",Level,19095,Carrigadrohid Headrace,LEE,LEE,SOUTH WESTERN RBD,617.15 km²,51.89700912,-8.86418388
"POINT (-8.540992 51.889797)",Level & Flow,19114,Carrigrohane Bridge,Curragheen,LEE,SOUTH WESTERN RBD,46.40 km²,51.889797,-8.540992
"POINT (-9.02229 51.85761)",Level & Flow,19106,Cooldaniel,LEE,LEE,SOUTH WESTERN RBD,171.54 km²,51.85761,-9.02229
"POINT (-9.07412 51.871)",Level & Flow,19110,Cooleen Bridge,TOON,LEE,SOUTH WESTERN RBD,29.97 km²,51.871,-9.07412
"POINT (-8.783723 51.86084)",Level & Flow,19112,Coolmuckey Br,Bride (Cork),LEE,SOUTH WESTERN RBD,70.21 km²,51.86084,-8.783723
"POINT (-8.509638 51.892643)",Level,19113,County Hall,Curragheen,LEE,SOUTH WESTERN RBD,47.62 km²,51.892643,-8.509638
"POINT (-8.44391 51.901606)",Tidal,19160,Currach Club,LEE,LEE,SOUTH WESTERN RBD,0.00 km²,51.901606,-8.44391
"POINT (-8.746053 51.915989)",Level & Flow,19107,Dripsey Bridge,Dripsey,LEE,SOUTH WESTERN RBD,82.17 km²,51.915989,-8.746053
"POINT (-8.498278 51.896472)",Level,19162,Fitzgerald's Park,LEE,LEE,SOUTH WESTERN RBD,1185.00 km²,51.896472,-8.498278
"POINT (-8.45212 51.91294)",Level & Flow,19057,Glen Park,GLEN,LEE,SOUTH WESTERN RBD,7.85 km²,51.91294,-8.45212
"POINT (-8.477429 51.929203)",Level & Flow,19059,Glennamought Bridge,Glen Tributary,LEE,SOUTH WESTERN RBD,17.41 km²,51.929203,-8.477429
"POINT (-8.558214444 51.92805667)",Level & Flow,19045,Gothic Bridge,BLARNEY,LEE,SOUTH WESTERN RBD,22.40 km²,51.92805667,-8.558214444
"POINT (-8.661891 51.900141)",Level,19094,Inniscarra Headrace,LEE,LEE,SOUTH WESTERN RBD,786.52 km²,51.900141,-8.661891
"POINT (-8.63343 51.89202)",Level & Flow,19109,Inniscarra Tailrace,LEE,LEE,SOUTH WESTERN RBD,791.14 km²,51.89202,-8.63343
"POINT (-9.02315 51.911624)",Level & Flow,19111,Killaclug,Foherish,LEE,SOUTH WESTERN RBD,74.83 km²,51.911624,-9.02315
"POINT (-8.5885725 51.98953389)",Level & Flow,19044,Kilmona Bridge,MARTIN,LEE,SOUTH WESTERN RBD,39.59 km²,51.98953389,-8.5885725
"POINT (-8.962501 51.906031)",Level & Flow,19101,Macroom Town Bridge,Sullane,LEE,SOUTH WESTERN RBD,211.01 km²,51.906031,-8.962501
"POINT (-8.48383 51.90005)",Tidal,19164,Mercy Hospital,LEE,LEE,SOUTH WESTERN RBD,0.00 km²,51.90005,-8.48383
"POINT (-8.93616 51.92933)",Level & Flow,19104,Morris's Bridge,Laney,LEE,SOUTH WESTERN RBD,82.11 km²,51.92933,-8.93616
"POINT (-8.60186 51.914717)",Level & Flow,19105,Muskerry,Shournagh,LEE,SOUTH WESTERN RBD,209.13 km²,51.914717,-8.60186
"POINT (-8.654934 51.880537)",Level & Flow,19103,Ovens Bridge,Bride (Cork),LEE,SOUTH EASTERN RBD,117.82 km²,51.880537,-8.654934
"POINT (-8.473513 51.900999)",Tidal,19163,Pope's Quay,LEE ESTY,LEE,SOUTH WESTERN RBD,0.00 km²,51.900999,-8.473513
"POINT (-8.46393 51.900174)",Tidal,19161,St. Patrick's Quay (East),LEE ESTY,LEE,SOUTH WESTERN RBD,0.00 km²,51.900174,-8.46393
"POINT (-8.510053 51.893989)",Level & Flow,19102,Waterworks Weir,LEE,LEE,SOUTH WESTERN RBD,1185.00 km²,51.893989,-8.510053
